location,state,latitude,longitude,date,rainfall_mm,prev_24h_rainfall_mm,prev_48h_rainfall_mm,river_level_m,soil_moisture_percent,terrain_elevation_m,distance_to_river_km,drainage_capacity_percent,historical_flood_count,population_density,urban_area_percent,water_depth_m,population_affected,economic_loss_million,severity_level,risk_score
Chennai,Tamil Nadu,13.024808,80.214079,2024-04-04,75.08,39.71,51.73,3.54,41.68,69.84,0.07,50.82,6,15,68.09,0.38,2,0.0,Low,32.5
Bhopal,Madhya Pradesh,23.20356,77.458484,2024-03-23,35.61,11.05,12.84,2.75,44.33,74.19,3.57,51.32,3,63,82.9,0.5,4,0.01,Low,17.59
Solapur,Maharashtra,17.678466,75.960869,2023-10-18,4.76,2.97,3.7,12.1,7.74,21.9,1.09,62.54,1,178,95.25,0.3,29,0.03,Low,31.33
Mumbai,Maharashtra,19.015847,72.953245,2023-02-19,48.83,31.98,43.98,3.15,9.44,26.97,0.96,57.38,3,1184,89.45,1.0,163,0.6,Low,22.25
Rajkot,Gujarat,22.268083,70.731818,2024-12-31,43.81,28.42,33.6,6.52,29.89,90.01,2.68,64.99,1,1410,71.0,0.82,218,0.23,Low,12.86
Bhopal,Madhya Pradesh,23.24431,77.497573,2023-08-08,34.9,27.08,36.8,3.46,17.75,20.37,2.06,47.19,4,252,75.0,1.02,26,0.03,Low,12.41
Bangalore,Karnataka,13.019417,77.655054,2024-04-15,146.88,114.57,151.43,3.71,53.4,38.61,1.16,49.37,6,190,65.09,2.45,93,0.27,Medium,42.29
Bangalore,Karnataka,12.968236,77.569858,2024-09-28,63.28,38.08,48.61,4.42,47.88,155.51,1.18,67.16,4,243,48.09,0.44,47,0.06,Low,29.17
Kota,Rajasthan,25.300747,75.801244,2023-08-20,22.55,15.74,22.86,1.66,44.34,135.7,0.02,59.89,3,21711,75.28,0.23,1330,0.9,Low,14.31
Rajkot,Gujarat,22.357488,70.845612,2023-01-14,121.68,83.64,124.48,4.57,42.29,88.33,0.03,73.81,3,50000,91.78,1.23,8600,23.75,Medium,47.73
Gwalior,Madhya Pradesh,26.136436,78.154361,2023-08-25,21.18,6.65,8.22,1.45,31.1,106.25,0.18,73.74,1,116,89.37,0.52,25,0.02,Low,12.82
Lucknow,Uttar Pradesh,26.886832,80.888772,2025-09-11,100.41,69.14,81.39,12.02,34.18,155.51,2.24,59.69,2,7979,61.09,1.93,2747,18.45,Medium,44.0
Kochi,Kerala,9.96804,76.276509,2023-04-28,61.39,42.61,59.97,0.61,49.26,158.99,2.2,63.91,2,36465,76.92,0.51,7711,5.84,Low,25.72
Hubli,Karnataka,15.355433,75.212114,2023-03-25,56.87,33.66,43.23,6.99,16.52,60.29,1.15,75.85,5,187,77.44,0.99,27,0.04,Low,33.95
Nagpur,Maharashtra,21.136766,79.124152,2023-03-28,66.4,51.67,68.35,5.25,38.71,109.11,8.52,67.28,4,4586,81.98,0.65,1524,3.68,Low,19.48
Agra,Uttar Pradesh,27.12878,77.927634,2023-11-07,205.17,91.57,126.36,10.66,53.07,24.37,1.52,52.75,1,4160,47.82,5.25,4461,87.27,Critical,81.14
Jodhpur,Rajasthan,26.154258,73.030036,2024-11-13,121.27,37.24,55.46,4.52,39.31,93.87,2.49,70.5,2,679,94.82,1.66,592,2.42,Medium,39.3
Bangalore,Karnataka,12.966115,77.61311,2025-03-15,96.19,69.01,79.26,9.71,50.32,243.34,3.21,91.09,3,405,93.65,0.56,147,0.12,Low,29.45
Thiruvananthapuram,Kerala,8.471802,76.85016,2023-12-23,136.67,71.51,101.73,3.47,51.66,133.61,2.64,51.79,8,50000,88.77,0.42,4777,6.98,Low,31.07
Vasai,Maharashtra,19.548181,72.774586,2023-10-13,104.94,51.84,70.77,5.81,30.33,89.06,0.18,28.52,4,467,78.34,1.53,268,0.97,Medium,43.5
Bangalore,Karnataka,13.065446,77.559521,2025-05-21,89.13,56.08,68.24,7.37,29.92,304.17,0.95,68.21,0,2446,84.53,1.87,952,3.55,Medium,35.06
Coimbatore,Tamil Nadu,11.017212,77.044457,2023-06-08,64.67,46.12,68.83,0.57,49.77,112.56,1.58,81.05,1,12507,84.86,0.71,394,0.36,Low,25.15
Guwahati,Assam,26.080127,91.78777,2025-06-01,55.86,26.05,38.21,1.37,38.67,48.26,1.77,74.6,4,2052,72.32,0.39,382,0.41,Low,30.12
Mumbai,Maharashtra,19.089749,72.815795,2024-09-20,169.94,99.23,144.56,7.49,49.86,94.74,1.14,49.16,5,926,74.32,2.01,1106,4.02,High,59.27
Kanpur,Uttar Pradesh,26.358205,80.300843,2023-06-12,60.73,45.72,63.71,5.6,31.66,77.59,2.92,73.82,3,416,65.74,0.24,149,0.06,Low,26.31
Rajkot,Gujarat,22.353615,70.734859,2025-06-03,77.08,27.34,35.5,5.37,32.94,275.46,0.99,80.97,6,8437,76.47,0.41,1388,0.63,Low,29.25
Varanasi,Uttar Pradesh,25.366917,83.018206,2023-01-07,72.54,33.85,41.95,5.97,15.96,42.83,1.84,51.78,0,50000,51.89,1.71,20629,79.69,Medium,36.13
Kochi,Kerala,10.003573,76.330331,2023-11-18,24.76,15.18,19.56,7.92,40.32,73.29,3.62,47.18,2,86,91.41,0.9,8,0.02,Low,23.09
Nagpur,Maharashtra,21.091527,79.05047,2025-09-03,16.95,11.5,13.42,5.83,29.01,193.09,0.76,67.67,3,2243,73.24,0.82,323,0.33,Low,15.56
Pune,Maharashtra,18.508699,73.881001,2024-07-15,18.3,8.82,10.78,2.07,23.83,55.64,1.06,62.19,5,980,77.18,0.21,136,0.09,Low,15.3
Bareilly,Uttar Pradesh,28.426445,75.335247,2023-10-08,82.04,53.25,72.54,2.78,39.32,65.48,0.17,62.45,5,50000,65.1,0.25,12233,11.12,Low,26.41
Bangalore,Karnataka,12.938024,77.531332,2025-08-04,54.36,17.23,24.14,4.75,51.71,95.51,0.71,33.69,5,346,82.78,2.0,105,0.63,Medium,41.99
Kota,Rajasthan,25.260207,75.963224,2025-09-01,50.42,19.05,24.96,4.33,42.52,121.8,2.87,91.53,5,76,93.68,0.63,7,0.02,Low,29.81
Jabalpur,Madhya Pradesh,23.225322,80.006878,2024-06-24,77.47,56.02,81.27,4.24,56.98,10.41,3.15,35.83,2,6511,56.01,1.14,3753,14.71,Medium,35.29
Jodhpur,Rajasthan,26.142641,73.051172,2024-01-12,172.35,129.5,151.81,6.85,58.65,26.66,3.43,51.61,2,746,86.39,1.48,125,0.43,Medium,54.32
Lucknow,Uttar Pradesh,26.892724,80.900905,2024-12-05,133.85,71.13,105.34,11.2,42.38,69.86,4.92,93.42,4,766,63.99,2.42,314,2.63,Medium,52.21
Ahmedabad,Gujarat,22.941982,72.651375,2024-03-30,70.56,53.56,66.15,2.71,19.49,56.27,2.03,87.44,1,1575,50.16,0.36,138,0.22,Low,20.49
Srinagar,Jammu and Kashmir,34.139894,74.703822,2025-05-24,62.1,46.66,69.88,4.76,41.43,54.54,3.61,84.11,2,260,85.07,1.55,58,0.23,Medium,36.94
Faridabad,Haryana,28.462934,77.271002,2023-08-29,66.58,42.66,54.29,5.14,15.39,82.11,4.23,28.73,3,8166,72.5,1.2,1041,4.12,Low,27.87
Gwalior,Madhya Pradesh,26.296116,78.273158,2025-03-04,14.56,8.84,9.76,7.34,22.37,27.41,2.14,54.63,1,27,75.74,0.52,9,0.01,Low,27.76
Guwahati,Assam,26.236412,91.755933,2023-03-03,38.58,25.23,32.93,6.18,26.22,176.69,2.06,48.07,4,247,72.05,1.15,49,0.15,Low,14.12
Visakhapatnam,Andhra Pradesh,17.778849,83.169712,2023-08-24,37.35,20.9,23.81,1.95,4.85,134.75,4.2,34.35,2,338,80.2,0.24,55,0.06,Low,6.8
Hubli,Karnataka,15.317156,75.083307,2025-03-25,72.67,47.1,66.09,10.81,28.22,114.47,0.05,47.97,3,130,90.25,1.08,35,0.13,Medium,41.33
Dhanbad,Jharkhand,23.749328,86.452799,2025-09-12,91.51,41.55,50.69,7.76,32.76,62.75,1.07,66.06,3,4524,47.49,1.53,2554,14.67,Medium,35.7
Gwalior,Madhya Pradesh,26.312274,78.257666,2025-01-10,73.21,35.83,43.25,8.94,39.83,178.64,1.0,71.08,4,50000,78.61,1.14,4067,21.41,Low,33.22
Delhi,Delhi,28.624182,77.056477,2025-04-24,72.54,55.0,77.47,5.68,28.29,71.86,5.19,88.59,10,3369,73.62,0.69,636,1.84,Low,23.71
Allahabad,Uttar Pradesh,25.469441,81.850722,2024-04-25,115.78,78.4,116.63,2.97,42.67,46.4,4.82,30.03,3,222,67.4,0.42,55,0.06,Low,33.36
Kanpur,Uttar Pradesh,26.350839,80.284811,2025-03-19,40.76,15.22,19.13,4.78,30.59,138.99,1.57,58.99,0,690,92.86,0.92,107,0.3,Low,16.57
Chandigarh,Chandigarh,30.746457,76.768771,2025-01-29,102.82,48.23,71.83,3.61,54.99,102.89,0.92,55.45,1,22,40.77,2.23,10,0.06,Medium,41.06
Bareilly,Uttar Pradesh,28.422661,75.445789,2023-04-20,158.09,76.83,109.09,5.42,29.41,86.93,4.08,40.01,4,4688,85.59,1.95,3988,15.42,Medium,46.47
Howrah,West Bengal,22.658544,88.33744,2024-06-12,185.65,70.5,90.52,4.93,40.02,64.26,1.35,18.45,4,36,88.34,2.81,30,0.25,High,56.95
Bhopal,Madhya Pradesh,23.18446,77.493103,2024-07-01,33.22,16.2,23.78,4.91,44.88,274.2,2.75,72.68,3,2359,81.0,0.49,538,0.32,Low,10.68
Vasai,Maharashtra,19.381147,72.897509,2023-03-13,42.45,13.78,19.15,5.42,14.42,133.66,5.51,46.13,2,1444,77.81,0.19,188,0.11,Low,9.03
Bhopal,Madhya Pradesh,23.226464,77.340843,2025-01-17,147.62,101.35,133.08,7.41,47.76,308.6,4.32,69.44,3,1274,60.6,2.0,514,1.65,Medium,36.47
Howrah,West Bengal,22.508688,88.187942,2024-10-22,78.69,31.83,38.45,9.7,26.55,16.47,7.9,70.08,4,529,88.45,1.01,86,0.39,Low,31.46
Jabalpur,Madhya Pradesh,23.260971,80.04914,2024-04-06,237.02,186.71,214.71,8.4,83.88,19.5,2.0,46.25,2,50000,72.87,3.74,38207,234.8,Critical,83.79
Varanasi,Uttar Pradesh,25.283548,83.008852,2025-07-26,83.47,65.58,83.89,2.04,36.71,108.71,1.55,59.81,2,1521,69.21,0.8,448,1.47,Low,17.03
Solapur,Maharashtra,17.582291,75.90962,2023-08-10,72.77,30.94,35.61,2.77,39.92,108.74,0.12,93.97,3,490,87.89,1.14,115,0.58,Low,19.41
Vadodara,Gujarat,22.346314,73.087162,2024-11-21,180.63,134.97,202.07,9.16,42.39,41.09,1.23,71.39,2,50000,83.8,2.34,55817,549.4,High,61.27
Visakhapatnam,Andhra Pradesh,17.624319,83.229426,2024-05-28,91.25,62.13,72.65,2.47,34.84,70.82,2.13,47.13,5,710,89.82,0.41,51,0.09,Low,17.12
Kota,Rajasthan,25.218322,75.788223,2024-10-20,67.65,43.88,62.56,2.62,20.7,170.63,1.43,47.45,4,948,45.84,1.17,146,0.8,Low,25.69
Vadodara,Gujarat,22.369584,73.142829,2023-08-20,179.48,88.35,101.27,3.69,72.45,85.33,0.38,91.0,6,3073,90.81,2.43,1753,17.77,High,55.98
Faridabad,Haryana,28.321737,77.354406,2024-08-15,75.13,26.89,30.43,0.93,32.03,93.26,0.06,86.38,2,2109,95.06,0.83,394,0.83,Low,25.09
Bhopal,Madhya Pradesh,23.335936,77.489517,2023-11-01,25.92,8.98,11.91,1.66,43.22,57.17,2.19,73.41,5,3638,88.29,1.04,346,0.58,Low,15.86
Thiruvananthapuram,Kerala,8.600381,76.970667,2024-01-17,195.89,127.95,180.36,7.63,47.07,85.87,2.05,77.95,3,376,81.93,2.15,397,3.78,High,62.23
Varanasi,Uttar Pradesh,25.30515,82.897891,2024-02-18,46.88,33.72,42.78,4.91,36.54,144.53,0.49,39.6,2,11610,54.75,0.53,916,2.13,Low,24.47
Varanasi,Uttar Pradesh,25.3944,83.012322,2024-01-05,20.49,11.95,16.96,3.32,17.81,93.97,1.66,59.46,5,514,73.54,0.32,58,0.05,Low,18.4
Vasai,Maharashtra,19.503918,72.854856,2025-05-26,46.44,32.93,38.14,2.77,36.92,30.88,0.16,62.56,1,12552,87.16,0.72,3879,8.1,Low,19.69
Srinagar,Jammu and Kashmir,33.994268,74.847408,2025-04-26,113.91,71.71,93.81,4.24,40.45,40.0,3.34,61.81,5,50,75.67,0.85,10,0.04,Medium,46.13
Patna,Bihar,25.551873,85.147709,2023-07-12,202.99,111.66,157.91,1.9,56.83,69.6,4.07,23.19,2,376,51.79,2.26,90,0.23,Medium,47.54
Agra,Uttar Pradesh,27.144601,78.05998,2023-07-19,202.34,148.94,166.48,8.16,56.32,117.26,1.07,74.74,3,1033,63.34,2.94,1310,4.76,High,72.3
Nagpur,Maharashtra,21.192373,78.996839,2025-03-03,83.75,65.12,93.98,1.97,26.38,40.13,2.96,57.57,5,11,49.99,0.83,4,0.01,Low,20.72
Varanasi,Uttar Pradesh,25.335821,82.902406,2023-12-30,17.02,9.87,12.19,4.3,42.49,207.36,0.27,93.72,2,1340,73.78,0.52,143,0.11,Low,23.88
Rajkot,Gujarat,22.267183,70.900759,2023-09-08,148.78,117.01,158.16,7.18,48.77,156.2,1.8,42.46,0,451,71.9,1.38,126,0.71,Medium,51.7
Hyderabad,Telangana,17.478262,78.480149,2023-10-03,21.01,12.82,16.66,3.62,40.89,49.27,1.47,10.64,2,612,64.62,0.3,236,0.23,Low,21.61
Guwahati,Assam,26.179379,91.665693,2024-06-19,49.36,25.6,28.39,5.19,39.58,60.36,1.54,39.98,0,900,40.17,0.99,155,0.67,Low,17.48
Hubli,Karnataka,15.312827,75.052068,2024-11-21,96.99,67.69,82.08,8.27,43.45,51.25,1.45,36.32,2,488,67.84,1.36,267,1.59,Medium,43.42
Vijayawada,Andhra Pradesh,16.554119,80.643251,2023-02-22,116.3,41.28,59.36,6.14,37.64,145.86,1.6,73.86,2,13480,66.47,0.1,2583,1.24,Low,32.05
Vasai,Maharashtra,19.506959,72.789883,2023-03-19,106.12,46.11,59.36,6.09,33.87,97.43,0.08,40.55,4,223,47.15,1.2,138,0.64,Medium,43.86
Vasai,Maharashtra,19.376643,72.740672,2024-11-05,119.46,66.46,85.89,3.83,52.21,113.8,2.23,61.97,2,1110,58.32,0.86,130,0.18,Low,33.85
Jaipur,Rajasthan,26.98367,75.735273,2023-04-27,29.79,10.61,12.25,7.85,23.65,46.78,1.32,78.21,1,247,73.62,0.47,57,0.09,Low,34.0
Faridabad,Haryana,28.436193,77.28248,2023-04-05,35.37,24.64,28.76,15.58,25.48,115.07,3.23,39.2,4,3505,74.51,0.72,236,0.45,Low,34.6
Visakhapatnam,Andhra Pradesh,17.745425,83.16495,2023-09-16,16.23,11.56,14.56,2.4,23.19,117.44,1.92,71.81,3,94,72.85,0.82,18,0.03,Low,10.26
Indore,Madhya Pradesh,22.762812,75.895484,2024-07-02,135.36,42.88,59.12,1.12,45.67,177.47,1.74,55.23,3,206,93.36,1.0,16,0.04,Low,31.13
Guwahati,Assam,26.067562,91.814641,2023-06-21,73.23,24.05,31.66,8.53,20.74,179.22,4.59,81.3,4,4377,81.04,0.47,1799,3.41,Low,21.99
Srinagar,Jammu and Kashmir,34.088978,74.771225,2023-04-27,36.41,15.01,20.34,8.74,20.32,98.85,1.67,55.47,1,469,62.26,0.32,120,0.08,Low,21.31
Kalyan,Maharashtra,19.334548,73.111191,2023-07-30,44.07,18.5,22.64,5.64,26.66,77.84,2.45,68.92,2,9601,72.05,0.59,3612,5.92,Low,21.69
Faridabad,Haryana,28.450768,77.417768,2023-08-29,58.36,21.73,30.79,3.08,43.64,23.41,1.02,65.84,4,715,65.26,0.45,208,0.31,Low,27.12
Amritsar,Punjab,31.661777,74.947971,2024-02-01,65.46,40.27,48.86,3.22,31.81,14.96,1.94,66.68,1,44,91.24,0.68,11,0.03,Low,25.24
Hyderabad,Telangana,17.365298,78.580678,2023-06-13,55.58,39.13,57.82,6.65,42.12,123.28,6.99,92.44,2,172,75.42,0.5,58,0.12,Low,29.01
Indore,Madhya Pradesh,22.746844,75.820842,2025-08-20,82.65,63.77,78.6,6.34,31.64,34.63,1.47,66.51,4,2380,48.93,2.26,507,4.59,Medium,35.84
Thiruvananthapuram,Kerala,8.494961,76.885161,2024-01-08,151.46,108.53,155.4,3.28,47.13,115.94,0.84,14.47,5,603,81.29,0.89,298,0.77,Medium,53.78
Vadodara,Gujarat,22.210731,73.182074,2023-01-10,25.68,13.06,16.05,6.13,39.06,37.43,1.08,37.43,1,17,81.72,0.51,0,0.0,Low,23.66
Srinagar,Jammu and Kashmir,34.011119,74.780706,2025-05-11,82.44,37.0,50.36,4.8,36.09,190.59,0.08,76.86,0,881,32.41,0.53,327,0.54,Low,28.99
Hubli,Karnataka,15.329919,75.059899,2024-07-29,233.23,164.97,199.71,9.97,74.55,125.56,0.84,29.25,1,24410,64.84,2.4,15289,56.88,High,72.58
Ranchi,Jharkhand,23.402647,85.309759,2023-06-02,67.41,26.55,32.51,2.65,40.42,90.1,5.58,43.89,0,3694,76.2,1.01,432,1.31,Low,25.3
Kochi,Kerala,10.011343,76.363277,2024-11-16,218.47,98.45,121.3,6.01,53.24,51.38,4.08,49.69,2,24,69.68,3.83,23,0.3,High,57.31
Srinagar,Jammu and Kashmir,34.086013,74.820024,2023-09-19,44.87,13.99,20.71,11.09,52.76,112.0,5.0,44.95,3,29575,56.3,0.88,2056,8.3,Low,27.01
Surat,Gujarat,21.206434,72.757291,2024-06-28,92.45,49.57,59.59,3.76,40.46,110.0,0.59,90.11,3,3557,64.5,0.89,581,1.04,Low,30.13
Varanasi,Uttar Pradesh,25.37263,82.916307,2023-04-11,111.04,45.65,60.98,3.68,36.69,16.41,0.63,13.6,1,381,52.86,0.95,284,0.49,Medium,35.22
Srinagar,Jammu and Kashmir,34.087423,74.738135,2023-12-30,106.9,83.6,92.72,8.94,56.93,117.1,1.31,68.23,2,1631,27.73,1.47,608,4.35,Medium,51.8
Thiruvananthapuram,Kerala,8.624064,76.850278,2023-04-08,66.8,30.97,45.49,1.51,33.9,151.76,1.01,55.97,5,4960,50.42,0.48,598,1.44,Low,18.56
Agra,Uttar Pradesh,27.098389,77.977701,2023-11-27,40.78,28.06,39.47,5.75,28.02,74.04,1.7,32.06,2,124,65.75,0.97,35,0.16,Low,19.95
Thiruvananthapuram,Kerala,8.498229,76.972793,2023-09-03,69.44,43.91,65.26,8.94,43.33,158.44,0.61,42.49,2,26882,77.32,1.82,9180,18.53,Medium,40.39
Mumbai,Maharashtra,19.086533,72.898991,2024-07-14,117.92,74.73,101.68,6.53,23.78,141.34,0.83,80.41,2,1335,39.52,2.01,829,4.89,Medium,43.24
Lucknow,Uttar Pradesh,26.825102,80.899406,2024-10-14,117.99,50.04,62.28,4.05,51.22,30.65,0.53,26.66,1,559,59.94,0.88,148,0.38,Medium,50.88
Solapur,Maharashtra,17.659638,75.944406,2024-12-13,53.91,19.34,22.31,4.07,48.18,39.43,4.14,56.22,3,1001,78.61,1.19,64,0.24,Low,29.0
Kota,Rajasthan,25.234913,75.929121,2023-08-13,43.73,15.08,21.06,1.08,36.2,56.4,4.48,93.79,2,2873,83.93,0.91,713,1.45,Low,2.95
Raipur,Chhattisgarh,21.320071,81.598707,2024-10-16,68.38,45.87,56.62,4.83,36.93,108.69,2.08,98.71,3,4162,35.0,1.02,322,0.33,Low,25.08
Hyderabad,Telangana,17.373997,78.527239,2024-09-13,84.49,50.22,59.79,6.35,36.68,64.89,6.55,80.79,2,4194,72.42,0.3,617,0.88,Low,18.83
Thiruvananthapuram,Kerala,8.45202,76.963901,2023-11-24,129.04,60.18,89.03,5.43,53.16,24.68,0.68,96.29,2,514,63.81,1.06,200,1.02,Medium,54.56
Dhanbad,Jharkhand,23.724631,86.412426,2024-06-07,103.1,54.36,74.24,6.96,46.76,346.41,4.71,74.89,1,391,70.13,1.0,18,0.06,Low,27.38
Visakhapatnam,Andhra Pradesh,17.643478,83.219552,2024-03-29,96.34,42.94,58.87,10.57,31.63,145.46,3.11,61.89,1,4422,52.99,1.84,1513,6.28,Medium,40.77
Thiruvananthapuram,Kerala,8.565375,76.843988,2025-02-25,96.58,39.55,46.37,2.05,45.48,114.36,0.56,51.17,3,1095,75.42,0.76,153,0.22,Low,31.75
Kolkata,West Bengal,22.623999,88.34958,2025-02-16,68.15,35.75,44.96,2.72,51.95,131.59,2.29,70.71,3,206,85.58,0.71,52,0.06,Low,23.97
Varanasi,Uttar Pradesh,25.297929,82.975138,2023-01-02,56.58,19.72,24.58,3.8,21.1,71.13,1.64,72.94,2,602,71.51,0.5,71,0.15,Low,22.78
Jodhpur,Rajasthan,26.299193,72.984765,2023-02-21,179.25,112.05,167.97,3.15,47.61,34.25,2.94,34.79,2,400,74.07,2.15,191,1.49,Medium,51.3
Rajkot,Gujarat,22.301664,70.816812,2023-05-03,73.95,36.65,43.32,2.42,33.0,66.93,0.49,34.0,3,3048,69.0,0.77,456,1.11,Low,30.09
Hubli,Karnataka,15.273663,75.218829,2023-06-16,45.05,22.54,32.44,10.65,34.27,31.35,1.18,70.21,1,540,91.98,0.5,121,0.23,Low,30.46
Guwahati,Assam,26.154058,91.63914,2023-11-07,67.6,25.16,33.26,5.28,50.82,91.37,8.6,31.89,3,2685,74.14,0.16,647,0.41,Low,32.28
Chandigarh,Chandigarh,30.744162,76.861918,2024-05-01,69.2,30.82,36.46,0.7,39.85,98.15,0.57,36.98,2,7737,46.56,1.18,505,0.65,Low,31.98
Nashik,Maharashtra,20.041144,73.715486,2025-07-17,96.28,61.59,79.39,2.6,29.6,60.1,0.32,90.29,2,3677,62.97,0.51,450,1.01,Low,30.9
Srinagar,Jammu and Kashmir,34.162395,74.867228,2024-04-24,155.96,91.81,106.73,7.06,59.53,72.24,0.74,62.1,4,46872,55.21,3.25,40742,606.55,High,68.59
Jaipur,Rajasthan,26.960049,75.770775,2024-09-17,85.63,46.79,64.94,4.9,41.48,58.48,6.34,38.12,2,25,67.63,0.78,4,0.01,Low,28.19
Jaipur,Rajasthan,26.84493,75.858944,2025-01-14,93.67,43.37,55.08,1.85,36.4,41.41,1.81,58.02,4,303,88.12,0.2,33,0.03,Low,31.91
Kanpur,Uttar Pradesh,26.360712,80.40968,2024-10-05,170.03,73.56,82.59,8.09,68.2,114.22,1.03,58.85,1,1006,65.06,2.24,348,1.77,High,67.42
Aurangabad,Maharashtra,19.957883,75.349639,2023-06-22,58.65,39.35,49.69,0.84,40.24,82.39,0.52,65.61,0,1190,79.94,0.3,67,0.04,Low,34.92
Surat,Gujarat,21.120272,72.845127,2025-07-20,189.35,60.31,84.66,6.98,66.58,22.14,0.16,32.13,4,4607,30.68,2.96,5120,71.59,High,70.16
Varanasi,Uttar Pradesh,25.301458,82.881416,2024-04-15,60.56,40.76,57.66,9.07,42.08,193.41,0.45,29.28,7,2424,85.46,1.33,1406,8.91,Medium,41.1
Delhi,Delhi,28.753483,77.050749,2023-06-09,95.94,63.78,86.61,2.76,8.21,124.74,0.22,66.35,1,102,52.27,0.46,11,0.02,Low,28.3
Patna,Bihar,25.508198,85.168564,2025-03-30,39.06,26.73,38.05,14.48,20.73,23.31,10.0,50.24,3,204,54.08,0.82,53,0.05,Low,23.12
Ranchi,Jharkhand,23.315417,85.231708,2025-01-07,45.26,30.97,38.81,5.76,16.31,20.44,0.06,73.91,1,612,73.91,0.42,58,0.06,Low,23.9
Kalyan,Maharashtra,19.158983,73.186117,2024-04-25,76.33,38.74,50.71,6.61,33.31,221.46,1.62,80.53,3,8155,67.28,0.87,2401,10.46,Low,20.29
Madurai,Tamil Nadu,10.016549,78.132594,2023-06-07,138.95,86.85,104.72,3.92,46.16,139.48,0.79,77.55,3,11417,83.84,2.46,3709,9.77,Medium,35.38
Jaipur,Rajasthan,26.971021,75.826237,2023-10-06,118.83,91.82,123.38,6.41,36.48,186.6,1.12,83.94,2,986,62.26,1.83,530,2.42,Medium,35.87
Meerut,Uttar Pradesh,28.983955,77.655689,2025-02-01,114.73,51.37,59.75,4.44,40.9,288.51,0.14,61.06,0,4644,63.32,1.94,757,4.22,Medium,43.36
Jabalpur,Madhya Pradesh,23.171788,80.025283,2024-08-19,118.01,51.73,75.76,1.94,30.3,63.53,1.54,58.97,4,1300,86.84,0.76,500,0.86,Low,29.35
Kalyan,Maharashtra,19.191329,73.189031,2024-07-20,70.82,38.13,55.83,0.92,27.26,148.91,0.49,57.32,0,27,76.32,1.19,1,0.01,Low,20.16
Hubli,Karnataka,15.401135,75.196213,2024-01-24,79.29,28.18,31.02,4.57,37.93,58.0,2.76,62.62,1,743,54.02,0.44,246,0.36,Low,29.18
Chandigarh,Chandigarh,30.801691,76.693943,2023-05-29,43.19,17.27,24.02,2.59,50.28,12.81,0.27,18.39,6,16945,38.85,1.15,6961,33.41,Low,20.89
Hubli,Karnataka,15.328499,75.077072,2025-04-01,55.12,34.2,43.55,3.56,29.73,102.2,0.92,85.39,2,296,50.83,0.5,87,0.17,Low,28.41
Rajkot,Gujarat,22.246774,70.781106,2025-04-10,64.25,51.01,64.87,11.63,34.18,92.08,1.09,47.39,1,259,78.64,1.92,182,0.46,Medium,41.49
Bareilly,Uttar Pradesh,28.347843,75.442158,2025-08-26,82.99,36.8,50.97,3.66,20.21,503.93,1.54,75.79,4,2757,61.92,0.43,384,0.31,Low,20.8
Patna,Bihar,25.514396,85.046925,2024-04-09,80.2,32.09,41.61,6.02,32.16,38.9,1.62,40.32,2,1912,79.42,0.84,650,0.74,Low,28.34
Hubli,Karnataka,15.402409,75.052642,2025-06-15,52.24,37.35,48.79,3.04,38.65,160.28,2.51,39.91,3,9263,96.34,0.32,2175,1.49,Low,17.16
Howrah,West Bengal,22.55781,88.192779,2024-07-16,20.95,14.92,20.11,1.62,21.68,54.95,2.8,47.18,3,12316,83.9,0.44,1634,2.81,Low,6.38
Kalyan,Maharashtra,19.299731,73.030675,2025-03-23,78.04,58.3,72.58,4.71,35.71,73.1,1.87,63.65,5,50,81.94,0.77,6,0.01,Low,28.1
Indore,Madhya Pradesh,22.779754,75.7961,2023-05-05,41.75,26.68,33.57,3.0,34.89,158.72,2.01,31.1,1,6232,98.25,0.3,1333,1.63,Low,10.15
Meerut,Uttar Pradesh,28.924538,77.794976,2023-08-24,92.75,53.33,62.73,15.54,41.82,193.93,3.3,77.96,5,16220,46.87,1.19,4334,12.77,Medium,46.05
Varanasi,Uttar Pradesh,25.288882,83.048058,2024-03-27,60.95,27.03,38.04,1.65,20.69,18.7,1.65,35.47,4,47,75.14,1.2,8,0.02,Low,28.64
Guwahati,Assam,26.185182,91.761231,2024-05-23,108.66,55.82,82.47,7.2,36.45,9.53,1.0,69.81,1,312,59.33,2.49,180,1.07,Medium,50.49
Varanasi,Uttar Pradesh,25.234481,82.98873,2024-07-19,73.43,51.63,63.12,6.19,19.61,34.34,3.42,36.09,3,7160,46.56,0.33,1458,0.74,Low,27.61
Madurai,Tamil Nadu,9.925737,78.035329,2023-04-14,65.16,50.14,67.2,1.85,36.85,12.94,1.72,57.77,2,6473,66.63,1.15,2634,12.22,Low,30.16
Hyderabad,Telangana,17.330386,78.425479,2025-01-10,76.65,29.53,41.77,9.44,38.31,122.13,0.98,43.62,2,17,48.47,1.41,4,0.02,Medium,40.87
Guwahati,Assam,26.23223,91.750345,2024-01-18,86.12,38.3,44.33,1.73,24.64,44.47,3.39,53.92,1,325,44.3,0.84,40,0.04,Low,20.71
Gwalior,Madhya Pradesh,26.317806,78.161634,2023-04-23,111.65,54.38,80.51,4.62,37.14,119.46,0.41,27.37,6,50000,62.98,1.54,26637,157.26,Medium,38.92
